MapImpl,OpType,Scenario,Throughput,Latency,Memory,CPUUtil,GCPauses
Atomic,Balanced,1000 routines × 10000 ops,24323918.520425525,2462.2289350799997,10493972.8,4.5687544,6.6
Atomic,Read Heavy,1000 routines × 10000 ops,22839320.610696524,1424.00773,3.6893488147419187e+18,4.774023,5.9
Atomic,Write Heavy,1000 routines × 10000 ops,23936652.95253558,2207.8198731999996,1.8446744073696975e+19,4.4739057,7.4
RWMutex,Balanced,1000 routines × 10000 ops,1849054.1085338865,509974.43009927,303670489.6,10.0213581,6.0
RWMutex,Read Heavy,1000 routines × 10000 ops,1901798.365747289,506036.55708596,16016160.0,9.517857699999999,2.0
RWMutex,Write Heavy,1000 routines × 10000 ops,1536563.2947316014,606623.95024601,1.8446744073389873e+19,9.7491335,3.0
LockFree,Balanced,1000 routines × 10000 ops,11406350.994915303,18199.29504738,641629843.2,10.5948431,4.7
LockFree,Read Heavy,1000 routines × 10000 ops,11581144.287754018,1438.69662653,128426988.8,9.8151974,2.0
LockFree,Write Heavy,1000 routines × 10000 ops,9040932.534869498,4687.9313373800005,1.8446744072939608e+19,11.3430342,2.0
Partial Lockfree,Balanced,1000 routines × 10000 ops,11439907.709787872,22900.699135759998,754411952.0,15.0554249,4.6
Partial Lockfree,Read Heavy,1000 routines × 10000 ops,8074456.8925559595,2172.7389002200002,141333588.8,17.439201500000003,2.0
Partial Lockfree,Write Heavy,1000 routines × 10000 ops,5036750.460062536,28640.349945920003,1.8446744072813842e+19,16.8856914,2.0
